 사업장명,소재지역,소재지,위도,경도,업종,기업규모,임금,일생활균형,고용안정,비고
(주)리눅스데이타시스템,서울특별시 ,"서울특별시 강남구 봉은사로114길 40, 2층(삼성동, 홍선빌딩)",37.5123485,127.0653237,정보통신업,중소기업 43,1,1,1,3
(주)맑은기술,서울특별시 ,"서울특별시 구로구 디지털로30길 31, 1009호~1010호 (구로동, 코오롱디지털타워빌란트Ⅱ)",37.4829591,126.8961638,정보통신업,중소기업 22,0,0,1,1
(주)메스디아,서울특별시 ,"서울특별시 강서구 양천로 551-17, 1101호(가양동, 강서한화비즈메트로1차)",37.5623604,126.839074,도매 및 소매업,중소기업 4,0,0,1,1
(주)명인이노,서울특별시 ,"서울특별시 금천구 벚꽃로 278, 401~402호 (가산동, SJ테크노빌)",37.4793995,126.8846023,도매 및 소매업,중소기업 17,0,1,1,2
(주)명인일렉트로닉스,서울특별시 ,"서울특별시 용산구 새창로45길 9, 3층 (신계동, 한솔빌딩)",37.5345175,126.9627749,도매 및 소매업,중소기업 22,0,1,0,1
(주)모스티소프트,서울특별시 ,"서울특별시 영등포구 여의나루로 67, 17층(여의도동, 신송빌딩)",37.5235124,126.9264939,정보통신업,중소기업 34,0,0,1,1
(주)모코엠시스,서울특별시 ,"서울특별시 마포구 상암산로 76 ,14층(상암동, YTN 뉴스퀘어)",37.5791989,126.892349,정보통신업,중소기업 119,1,1,1,3
(주)미디어브레인,서울특별시 ,"서울특별시 강남구 봉은사로 476, 5층 (삼성동, 한일빌딩)",37.512468,127.052414,정보통신업,중소기업 21,0,0,1,1
(주)바이오스마트,서울특별시 ,"서울특별시 성동구 광나루로 172 (성수동1가, 린 하우스)",37.5510808,127.0493009,"전문, 과학 및 기술 서비스업",중소기업 158,0,0,1,1
(주)백조씽크,서울특별시 ,"서울특별시 동대문구 청계천로 463, 백조빌딩 4층",37.5705541,127.0288254,제조업,중소기업 109,1,1,1,3
(주)버즈빌,서울특별시 ,"서울특별시 송파구 석촌호수로 272, 3층(송파동, 대림빌딩)",37.5099499,127.1059246,"전문, 과학 및 기술 서비스업",중소기업 102,1,1,0,2
