 사업장명,소재지역,소재지,위도,경도,업종,기업규모,임금,일생활균형,고용안정,비고
(주)고려아카데미컨설팅,서울특별시,"서울특별시 금천구 디지털로9길 32, B동 17층(가산동,갑을그레이트벨리)",37.4794491,126.8874768,기타,중소기업 80,,1,,1
(주)윈위즈,서울특별시,"서울특별시 성동구 아차산로 126, 1210호(성수동2가,더리브 세종타워)",37.5436373,127.0578463,정보통신업,중소기업 24,,,1,1
(주)웨인테크놀로지,서울특별시,"서울특별시 구로구 디지털로34길 55, 1314~1315호(구로동,코오롱싸이언스밸리2차)",37.4842333,126.8992725,정보통신업,중소기업 63,1,,,1
(주)오픈메이트,서울특별시,"서울특별시 서대문구 통일로 87, 6층(미근동,NH농협생명빌딩 동관)",37.562761,126.9685173,정보통신업,중소기업 89,1,,1,2
(주)아이템베이,서울특별시,"서울특별시 양천구 목동중앙북로 112, 3~7층(창경빌딩)",37.5460908,126.8754967,정보통신업,중소기업 59,,1,,1
(주)해양정보기술,서울특별시,"서울특별시 금천구 가산디지털2로 14, 1312호(가산동,대륭테크노타운12차)",37.4696316,126.8842557,"전문, 과학 및 기술 서비스업",중소기업 60,1,1,,2
(주)라파스,서울특별시,서울특별시 강서구 마곡중앙8로1길 62(마곡동) ,37.560808,126.9223359,제조업,중소기업 100,1,,1,2
주식회사 이바이오젠,서울특별시,"서울특별시 성동구 뚝섬로17가길 48, 405호(성수동2가,성수에이원센터)",37.540619,127.059467,"전문, 과학 및 기술 서비스업",중소기업 31,1,,1,2
(주)유앤피플,서울특별시,"서울특별시 구로구 디지털로31길 38-9, 803호(구로동,에이스타크노타워1차)",37.4859741,126.8932881,정보통신업,중소기업 35,,1,,1
(주)쓰리에이씨,서울특별시,"서울특별시 금천구 가산디지털1로 168, B동 1307호(가산동,우림라이온스밸리)",37.4798346,126.8824997,제조업,중소기업 170,1,,1,2
(주)코마츠코리아,서울특별시,"서울특별시 마포구 마포대로 53, A동 1007호(도화동,마포트라팰리스)",37.5413911,126.9470437,도매 및 소매업,중소기업 20,,1,1,2
(주)스페이드컴퍼니,서울특별시,"서울특별시 강남구 영동대로 704, 3층(청담동,삼강빌딩)",37.5205738,127.0573614,정보통신업,중소기업 35,,1,1,2
주식회사 솔미디어컴퍼니,서울특별시,"서울특별시 강서구 허준로 217, 가양테크노타운 402-1호",37.5609779,126.8628698,정보통신업,중소기업 8,,,1,1
(주)셀메이트,서울특별시,"서울특별시 마포구 만리재로 47, 3층,5층(신공덕동,공덕코어빌딩)",37.5457559,126.9559855,정보통신업,중소기업 48,,1,1,2
(주)필라멘트리,서울특별시,서울특별시 강남구 학동로44길 16(필라멘트리 빌딩),37.5147082,127.0371736,정보통신업,중소기업 30,,1,1,2
고려공업검사(주),서울특별시,서울특별시 용산구 청파로89길 4-12,37.5538714,126.9682844,"전문, 과학 및 기술 서비스업",중소기업 272,1,1,1,3
(주)케이씨이아이,서울특별시,"서울특별시 구로구 디지털로32길 30, 15층(구로동,코오롱디지털타워빌란트)",37.4833536,126.8965156,정보통신업,중소기업 43,1,1,,2
(주)서울스탠다드,서울특별시,"서울특별시 금천구 가산디지털1로 233, 3층(가산동,에이스하이엔드타워9차)",37.4857867,126.878377,제조업,중소기업 157,1,,,1
세기정보통신(주),서울특별시,"서울특별시 구로구 디지털로 272, 1213호(구로동,한신IT타워)",37.4824724,126.894424,정보통신업,중소기업 85,,,1,1
(주)이십일세기소프트,서울특별시,"서울특별시 영등포구 선유로 146, 1410,1411호(양평동3가,이앤씨드림타워)",37.5277212,126.8915678,도매 및 소매업,중소기업 49,,,1,1
(주)이엠텍아이엔씨,서울특별시,"서울특별시 용산구 청파로 40, 3층(한강로3가,삼구빌딩)",37.5317631,126.9560302,도매 및 소매업,중견기업 65,,,1,1
(주)명인이노,서울특별시,"서울특별시 금천구 벚꽃로 278, 401,402호(가산동,SJ테크노빌)",37.4793995,126.8846023,도매 및 소매업,중소기업 17,1,1,1,3
엠아이큐브솔루션 주식회사,서울특별시,"서울특별시 서초구 남부순환로 2419, 2,3층(서초동,아트빌딩)",37.4815459,127.0151072,정보통신업,중소기업 179,1,1,1,3
(주)인성아이티,서울특별시,"서울특별시 영등포구 양평로22길 21, A203,204호(양평동5가,선유도코오롱디지털타워)",37.5399348,126.8942845,도매 및 소매업,중소기업 18,,,1,1
(주)씨넥스존,서울특별시,"서울특별시 용산구 효창원로55길 20, 지하1층,1층일부,2층(용문동,현양빌딩)",37.5385985,126.9598228,도매 및 소매업,중소기업 59,,1,,1
(주)티원엘에스,서울특별시,"서울특별시 금천구 가산디지털1로 145, 402호(가산동,에이스하이엔드타워3차)",37.4781156,126.8815677,도매 및 소매업,중소기업 27,,1,,1
(주)유씨알엠,서울특별시,"서울특별시 영등포구 당산로41길 11, E1004호(당산동4가,당산 SK V1센터)",37.5308096,126.8983384,기타,중소기업 14,,,1,1
(주)볼트마이크로,서울특별시,"서울특별시 용산구 한강대로62길 41, 2층(한강로1가,의성빌딩)",37.5325878,126.9737422,정보통신업,중소기업 8,1,,1,2
주식회사 오픈서베이,서울특별시,"서울특별시 서초구 서초대로78길 5, 10층(서초동,대각빌딩)",37.4972107,127.0273739,정보통신업,중소기업 95,1,1,,2
(주)디오에프연구소,서울특별시,"서울특별시 성동구 성수일로77, B204,305,306,307,601,602호(성수동,서울숲IT밸리)",37.5473423,127.0503117,정보통신업,중소기업 30,1,1,1,3
(주)큐빅테크,서울특별시,"서울특별시 구로구 디지털로 272, 301~303호(구로동,한신IT타워)",37.4824724,126.894424,정보통신업,중소기업 52,1,1,1,3
(주)아톤,서울특별시,"서울특별시 영등포구 여의대로 108, 파크원타워1 26층",37.5237584,126.9225703,정보통신업,중소기업 91,,1,,1
(주)이글루코퍼레이션,서울특별시,"서울특별시 송파구 정의로8길 7, 6층(문정동,한스빌딩)",37.5634006,126.9847852,정보통신업,중소기업 964,1,1,1,3
에스큐아이소프트(주),서울특별시,"서울특별시 영등포구 선유로3길 10, 13층(문래동5가,하우스디비즈)",37.515939,126.8867611,정보통신업,중소기업 175,1,1,,2
(주)유창하이텍,서울특별시,"서울특별시 영등포구 버드나루로50, 리버타워 2층",37.5231808,126.9110957,제조업,중소기업 75,,1,,1
주식회사 에이티아이케이,서울특별시,"서울특별시 구로구 디지털로26길 5, 1010호(구로동,에이스하이엔드타워1차)",37.4815733,126.8934683,도매 및 소매업,중소기업 74,1,1,1,3
(주)아리네트웍스,서울특별시,"서울특별시 성동구 아차산로 144, 301호(성수동2가,우영테크노센터)",37.5430809,127.0595959,도매 및 소매업,중소기업 41,,1,1,2
아이낸스(주),서울특별시,"서울특별시 영등포구 여의대방로69길 23, 6층(여의도동,한국금융IT빌딩)",37.5208986,126.9300778,정보통신업,중소기업 20,1,1,1,3
(주)라톤테크,서울특별시,"서울특별시 금천구 디지털로9길 32, B-1501호(가산동,갑을그레이트밸리)",37.4794491,126.8874768,정보통신업,중소기업 32,1,1,1,3
(주)지앤지커머스,서울특별시,"서울특별시 영등포구 국제금융로6길 30, 5층(여의도동,백상빌딩)",37.521706,126.9265314,정보통신업,중소기업 56,1,,,1
(주)엑스퍼넷,서울특별시,"서울특별시 구로구 디지털로31길 38-21, 609호(구로동,이앤씨벤쳐드림타워3차)",37.486478,126.893699,정보통신업,중소기업 78,1,1,1,3
(주)코이즈,서울특별시,서울특별시 강서구 화곡로59길 37-4(화곡동),37.5545656,126.8488217,도매 및 소매업,중소기업 40,,1,1,2
(주)신티에스,서울특별시,"서울특별시 구로구 디지털로33길 55, 801호(구로동,이앤씨벤처드림타워2차) ",37.487013,126.8931959,도매 및 소매업,중소기업 111,1,1,1,3
굿모닝아이텍(주),서울특별시,"서울특별시 마포구 월드컵북로 434, 10층(상암동,상암IT타워)",37.5813924,126.885617,정보통신업,중소기업 273,1,1,1,3
(주)한국금융IT,서울특별시,"서울특별시 영등포구 여의대방로69길 23, 4층(여의도동,한국금융IT빌딩)",37.5208986,126.9300778,정보통신업,중소기업 54,1,1,1,3
(주)제이코스,서울특별시,"서울특별시 영등포구 영신로 220, 1505~1506호(영등포동8가,KnK디지털타워)",37.526554,126.904299,도매 및 소매업,중소기업 33,,1,,1
(주)쿠콘,서울특별시,"서울특별시 영등포구 영신로 220, 19층(영등포동8가,KnK디지털타워)",37.526554,126.904299,정보통신업,중소기업 188,1,1,1,3
(주)조이앤비즈,서울특별시,"서울특별시 영등포구 양평로21길 26, 1608호(양평동5가,아이에스비즈타워)",37.5380675,126.8930945,정보통신업,중소기업 65,1,,,1
(주)투씨에스지,서울특별시,"서울특별시 구로구 디지털로32길 30, 15층(구로동,코오롱디지털타워빌란트1차)",37.4833536,126.8965156,정보통신업,중소기업 69,1,1,1,3
(주)모스티소프트,서울특별시,"서울특별시 영등포구 여의나루로 67, 17층(여의도동,신송빌딩)",37.5235124,126.9264939,정보통신업,중소기업 34,,1,1,2
주식회사 넥스블루,서울특별시,"서울특별시 영등포구 경인로 775, 1동 818호(문래동3가,에이스하이테크시티)",37.5143974,126.8993822,도매 및 소매업,중소기업 15,,,1,1
(주)오토핸즈,서울특별시,"서울특별시 영등포구 양평로25길 8, 8층 (양평동5가,어반322) ",37.5389563,126.8908521,정보통신업,중소기업 108,,1,1,2
(주)지란지교시큐리티,서울특별시,"서울특별시 강남구 역삼로 542, 5층(대치동,신사S&G빌딩)",37.5039421,127.062331,"전문, 과학 및 기술 서비스업",중소기업 137,1,1,1,3
비즈플레이(주),서울특별시,"서울특별시 영등포구 영신로220, 1904,1095호(영등포동8가,KnK디지털타워)",37.526554,126.904299,정보통신업,중소기업 113,1,1,,2
(주)로보로보,서울특별시,서울특별시 강북구 도봉로54길 6(미아동),37.6270294,127.0264461,제조업,중소기업 39,1,,1,2
주식회사 이뮤노맥스,서울특별시,"서울특별시 성북구 안암로 145, 309호(안암동5가,고려대 자연계캠퍼스 산학관)",37.5900117,127.0318586,"전문, 과학 및 기술 서비스업",중소기업 17,1,,1,2
(주)아이티젠,서울특별시,"서울특별시 영등포구 여의나루로 71, 13층(여의도동,동화빌딩)",37.5237336,126.9269202,정보통신업,중소기업 33,1,1,1,3
(주)온피아,서울특별시,"서울특별시 구로구 디지털로34길 55, 1004호(구로동,이앤씨벤처드림타워2차)",37.4842333,126.8992725,정보통신업,중소기업 32,1,,1,2
(주)퓨처젠,서울특별시,"서울특별시 구로구 디지털로31길 38-21, 1101호(구로동,이앤씨벤처드림타워3차) ",37.486478,126.893699,정보통신업,중소기업 277,,1,,1
(주)트루엔,서울특별시,"서울특별시 구로구 디지털로33길 28, 1309호(구로동,우림이비지센터1차)",37.4869767,126.8952883,제조업,중소기업 99,1,,,1
(주)포시에스,서울특별시,"서울특별시 강남구 논현로 646, 포시에스빌딩",37.5115236,127.0327396,정보통신업,중소기업 165,1,1,1,3
피엔케이피부임상연구센타(주),서울특별시,"서울특별시 영등포구 국회대로62길 25, 2,4,5층(한국교육시설안전원)",37.5262759,126.9177079,"전문, 과학 및 기술 서비스업",중소기업 91,1,,1,2
(주)단해,서울특별시,"서울특별시 강서구 마곡중앙로 165, 1201호(마곡동,프라이빗타워) ",37.6024241,126.8702371,제조업,중소기업 95,1,,,1
(주)호서텔넷,서울특별시,"서울특별시 강서구 강서로 416, 호서프라자 7층(등촌동)",37.5624217,126.8397887,제조업,중소기업 22,1,,1,2
(주)넷앤드,서울특별시,"서울특별시 영등포구 의사당대로1길 25, 10층(여의도동,하남빌딩)",37.5200412,126.9298321,정보통신업,중소기업 145,1,1,1,3
어드밴텍케이알(주),서울특별시,"서울특별시 강서구 강서로 468, 1202호(등촌동,에이스타워)",37.5671533,126.8414978,제조업,중견기업 116,1,1,,2
엘앤피코스메틱(주),서울특별시,"서울특별시 강서구 공항대로 516(등촌동,메디힐빌딩)",37.5512894,126.8634236,도매 및 소매업,중견기업 166,1,1,,2
주식회사 매사,서울특별시,"서울특별시 영등포구 선유로49길 23, 1001호(양평동4가,아이에스비즈타워2차)",37.5354789,126.8943457,정보통신업,중소기업 33,1,1,1,3
케이웨더 주식회사,서울특별시,"서울특별시 구로구 디지털로26길 5, 401호(구로동,에이스하이엔드타워1차)",37.4815733,126.8934683,정보통신업,중소기업 83,,1,1,2
(주)중앙아이씨에스,서울특별시,"서울특별시 마포구 성암로 330, 412호(상암동,DMC첨단산업센터)",37.5848659,126.88598,기타,중소기업 25,1,,1,2
(주)날리지큐브,서울특별시,"서울특별시 서초구 서초중앙로 14, 15층(서초동,진로빌딩)",37.4839571,127.01811,정보통신업,중소기업 70,1,1,1,3
(주)이노시뮬레이션,서울특별시,"서울특별시 강서구 마곡중앙8로7길 5(마곡동,이노캠퍼스)",37.5742249,126.8380453,"전문, 과학 및 기술 서비스업",중소기업 77,,1,,1
이에스콘트롤스(주),서울특별시,"서울특별시 강남구 언주로 94길 9-1, 2층(역삼동)",37.5046691,127.0427643,제조업,중소기업 18,1,,,1
(주)피알원,서울특별시,"서울특별시 서대문구 충정로 70, 19층(미근동,웨스트게이트타워)",37.5647015,126.9662207,"전문, 과학 및 기술 서비스업",중소기업 173,1,1,,2
(주)지앤티솔루션,서울특별시,"서울특별시 중구 세종대로 23, 7층(남대문로5가,창화빌딩)",37.5590079,126.9738035,정보통신업,중소기업 38,1,1,,2
(주)오픈놀,서울특별시,서울특별시 영등포구 양평로 2,37.5322072,126.9057524,정보통신업,중소기업 95,1,1,,2
주식회사 아이버스터,서울특별시,"서울특별시 마포구 월드컵북로6길 45, 5층(연남동,제일충무빌딩)",37.5590625,126.9206976,도매 및 소매업,중소기업 21,1,1,1,3
(주)경동하우징,서울특별시,"서울특별시 영등포구 양평로 5, 7층(당산동5가)",37.5320816,126.8972878,도매 및 소매업,중소기업 60,1,1,,2
(주)내일신문,서울특별시,서울특별시 종로구 새문안로3길 3(신문로1가),37.570306,126.9761086,정보통신업,중소기업 64,1,,,1
(주)우리기술,서울특별시,"서울특별시 마포구 월드컵북로 56길 9, 4층(DMC단지,우리기술빌딩)",37.5815036,126.8872557,제조업,중소기업 115,1,,1,2
(주)다미화학,서울특별시,"서울특별시 금천구 가산디지털2로 184, 709호(가산동,벽산디지털밸리2차)",37.4839124,126.8780977,도매 및 소매업,중소기업 21,,1,,1
(주)다하미커뮤니케이션즈,서울특별시,"서울특별시 중구 마른내로 140, 5층(쌍림동,인쇄정보센터)",37.5644725,127.0035696,정보통신업,중소기업 54,,1,1,2
(주)핀샷,서울특별시,"서울특별시 마포구 매봉산로 18, 507호(상암동,마포창업복지관)",37.5742419,126.8899001,정보통신업,중소기업 16,1,,1,2
(주)아이더스코리아,서울특별시,"서울특별시 강서구 양천로 376, 7~9층(가양동,델타빌딩)",37.5667835,126.843755,"전문, 과학 및 기술 서비스업",중소기업 85,1,1,1,3
(주)동구바이오제약,서울특별시,서울특별시 송파구 법원로 114 엠스테이트B동 14층,37.4859826,127.1197497,제조업,중견기업 365,1,1,1,3
다보코퍼레이션(주),서울특별시,"서울특별시 금천구 가산디지털2로 115, 909호(가산동,대륭테크노타운3차) ",37.4780715,126.8791907,도매 및 소매업,중소기업 40,,,1,1
코리아스펙트랄프로덕츠(주),서울특별시,"서울특별시 구로구 디지털로 273, 407호(구로동,에이스트윈타워2차) ",37.4839163,126.8940805,제조업,중소기업 25,1,1,1,3
(주)지테크시스템,서울특별시,"서울특별시 금천구 가산디지털2로 70, 817,1901~1906,1916~1918호(가산동,대륭테크노타운19차)",37.4746528,126.8822218,제조업,중소기업 58,1,,1,2
주식회사 웰비아닷컴,서울특별시,"서울특별시 금천구 가산디지털1로 145, 1107호(가산동,에이스하이엔드타워3차)",37.4781156,126.8815677,정보통신업,중소기업 9,1,,,1
넥시큐어시스템테크놀로지(주),서울특별시,"서울특별시 영등포구 국회대로68길 11, 401호(여의도동,삼보호정빌딩)",37.5291772,126.9196429,정보통신업,중소기업 27,,,1,1
(주)메이드인헤븐,서울특별시,"서울특별시 구로구 디지털로 306, 614호(구로동,대륭포스트타워2차) ",37.4858838,126.8973216,정보통신업,중소기업 57,1,1,1,3
티엔씨파트너(주),서울특별시,"서울특별시 구로구 디지털로33길 50, 705호(구로동,벽산디지털밸리7차)",37.4875117,126.8940049,정보통신업,중소기업 14,,,1,1
주식회사 에스엘디티,서울특별시,서울특별시 성동구 아차산로 9길 12(성수동2가),37.5448931,127.0583838,정보통신업,중소기업 100,1,1,1,3
(주)나온웍스,서울특별시,"서울특별시 구로구 디지털로 271, 711호(구로동,벽산디지털밸리3차)",37.4831253,126.8937032,정보통신업,중소기업 35,,1,,1
비컴솔루션(주),서울특별시,"서울특별시 강남구 도곡로2길 10, 6층(도곡동,뱅뱅별관)",37.4890286,127.0327981,정보통신업,중소기업 100,,,1,1
주식회사 에코아이티,서울특별시,"서울특별시 강남구 테헤란로78길 14-6, 5층(대치동,동성빌딩)",37.5052845,127.0549501,정보통신업,중소기업 133,,,1,1
(주)유투바이오,서울특별시,"서울특별시 송파구 거마로 61, 5층(마천동,한스어반타워)",37.498419,127.146399,"전문, 과학 및 기술 서비스업",중소기업 76,1,1,1,3
(주)이지미디어,서울특별시,"서울특별시 구로구 디지털로33길 28, 1201~1204호(구로동,우림이비지센터1차)",37.4869767,126.8952883,정보통신업,중소기업 97,1,1,1,3
(주)레드소프트,서울특별시,"서울특별시 구로구 디지털로31길 38-21, 309호(구로동,이앤씨벤처드림타워3차)",37.486478,126.893699,정보통신업,중소기업 27,,1,1,2
(주)엑심베이,서울특별시,"서울특별시 구로구 디지털로26길 111, 1101호(구로동,JNK디지털타워)",37.4823711,126.8972692,정보통신업,중소기업 75,1,1,1,3
오직주식회사,서울특별시,"서울특별시 금천구 가산디지털2로 136, 705호(가산동,승일벤처타워)",37.4799603,126.8793427,정보통신업,중소기업 15,,,1,1
주식회사 에프원시큐리티,서울특별시,"서울특별시 금천구 벚꽃로 234, 1402호(에이스하이엔드타워6차)",37.475813,126.8857558,정보통신업,중소기업 139,1,1,1,3
주식회사 투비원솔루션즈,서울특별시,"서울특별시 송파구 법원로11길 7, C동 1218호(문정동,문정현대지식산업센터1-2)",37.4941097,127.0106092,정보통신업,중소기업 26,1,1,1,3
(주)케이알엔지니어링,서울특별시,"서울특별시 구로구 디지털로34길55, 1212~1214호(구로동,코오롱싸이언스밸리2차)",37.4842333,126.8992725,"전문, 과학 및 기술 서비스업",중소기업 84,,1,,1
주식회사 더유제약,서울특별시,"서울특별시 영등포구 당산로 171, 1501호(금강펜테리움IT타워)",37.5298971,126.8981165,"전문, 과학 및 기술 서비스업",중소기업 193,1,1,1,3
(주)코스모티어,서울특별시,"서울특별시 금천구 가산디지털1로 5, 603호(가산동,대륭테크노타운20차)",37.479891,126.881929,정보통신업,중소기업 32,1,1,1,3
(주)토미구조엔지니어링,서울특별시,"서울특별시 구로구 디지털로31길 41, 508호(구로동, 이앤씨벤처드림타워6차)",37.4851381,126.8927305,"전문, 과학 및 기술 서비스업",중소기업 14,,1,1,2
주식회사 스텍,서울특별시,"서울특별시 구로구 디지털로 243, 18층(구로동,지하이시티)",37.4818903,126.8921068,도매 및 소매업,중소기업 47,1,1,,2
(주)이든앤앨리스마케팅,서울특별시,"서울특별시 강남구 테헤란로87길 36, 1505~7호(삼성동,도심공항타워)",37.5102556,127.058472,"전문, 과학 및 기술 서비스업",중소기업 242,,,1,1
양재아이티주식회사,서울특별시,"서울특별시 금천구 가산디지털2로 123, 313호(가산동,월드메르디앙2차)  ",37.4787503,126.8786525,정보통신업,중소기업 42,,1,,1
주식회사 데일리팜,서울특별시,"서울특별시 송파구 법원로 128, A동 401호(문정동,문정 SK V1 GL 메트로시티)",37.4801447,127.1208505,정보통신업,중소기업 47,,1,,1
페이레터주식회사,서울특별시,"서울특별시 강남구 역삼로 223(역삼동,대사빌딩)",37.4971,127.0411598,정보통신업,중소기업 134,1,1,,2
(주)메디칼타임즈,서울특별시,"서울특별시 송파구 법원로 128, A동 413호,B동 505호(문정동,문정 SK V1 GL 메트로시티)",37.485781,127.1153173,정보통신업,중소기업 18,1,1,1,3
(주)데브구루,서울특별시,"서울특별시 금천구 가산디지털1로 168, A동 1102~1104호(가산동,우림라이온스밸리)",37.4798346,126.8824997,정보통신업,중소기업 25,1,,1,2
(주)플래티어,서울특별시,"서울특별시 송파구 법원로9길 26, D동 6층",37.51492,127.10438,정보통신업,중소기업 233,1,1,1,3
주식회사 큐리어드,서울특별시,"서울특별시 강남구 논현로71길 20, 4층(역삼동,현덕빌딩)",37.4947858,127.0378094,정보통신업,중소기업 28,,,1,1
(주)지앤글로벌,서울특별시,"서울특별시 서초구 동작대로 108, 제비110호(방배동,디오슈페리움2)",37.4860508,126.9826057,정보통신업,중소기업 19,,,1,1
(주)서현기술단,서울특별시,"서울특별시 영등포구 영신로19길 7, 3층(영등포동) ",37.5142196,126.9069031,"전문, 과학 및 기술 서비스업",중소기업 240,1,1,,2
(주)투와이드컴퍼니,서울특별시,"서울특별시 강남구 남부순환로351길 19, 4,6층(도곡동)",37.48601,127.0341035,정보통신업,중소기업 69,,,1,1
(주)유브레인커뮤니케이션즈,서울특별시,"서울특별시 마포구 창전로 90, 6층(신수동,지씨빌딩)",37.5504263,126.9332479,"전문, 과학 및 기술 서비스업",중소기업 47,,1,1,2
알서포트 주식회사,서울특별시,"서울특별시 송파구 위례성대로 10, 9~15층(방이동,에스타워)",37.5166833,127.1134764,"전문, 과학 및 기술 서비스업",중소기업 305,1,1,1,3
(주)아이포트폴리오,서울특별시,"서울특별시 중구 남대문로9길 24, 패스트파이브타워 다동 11층",37.567102,126.9811195,정보통신업,중소기업 36,1,1,1,3
주식회사 님버스네트웍스,서울특별시,"서울특별시 구로구 디지털로 306, 1108호(구로동,대륭포스트타워2차)",37.4858838,126.8973216,정보통신업,중소기업 32,1,1,1,3
(주)지더블유캐드코리아,서울특별시,"서울특별시 강남구 학동로23길 49, 2,3층(논현동,아바드빌딩)",37.5162548,127.0266619,정보통신업,중소기업 26,1,1,1,3
(주)올에프엔비,서울특별시,서울특별시 용산구 한강대로14길 69,37.5234128,126.9676802,"전문, 과학 및 기술 서비스업",중소기업 39,1,1,,2
(주)드림인사이트,서울특별시,"서울특별시 구로구 디지털로33길 12, 1410~1412호(구로동,우림이비즈센터2차)",37.486541,126.8960952,"전문, 과학 및 기술 서비스업",중소기업 123,,1,1,2
(주)엔비커뮤니티,서울특별시,"서울특별시 서초구 강남대로101길 43, 3층(잠원동,유명빌딩)",37.5174421,127.0173796,"전문, 과학 및 기술 서비스업",중소기업 14,,,1,1
(주)스탠드포인트,서울특별시,"서울특별시 금천구 가산디지털1로 205, 902-2호(가산동,케이씨씨웰츠밸리) ",37.4838255,126.8796633,정보통신업,중소기업 14,,1,1,2
오아 주식회사,서울특별시,서울특별시 서초구 효령로46길 97(서초동),37.4790472,127.0089313,도매 및 소매업,중소기업 170,1,1,1,3
(주)대곤코퍼레이션,서울특별시,"서울특별시 구로구 디지털로 285, 12층(구로동,에이스트윈타워1차)",37.4844473,126.8944933,제조업,중소기업 133,1,1,,2
주식회사 미르테크,서울특별시,"서울특별시 서초구 사임당로 64, 3층(서초동,교대벤처타워)",37.4888506,127.0169124,정보통신업,중소기업 20,,1,,1
주식회사 브리지텍,서울특별시,"서울특별시 영등포구 국제금융로2길 32, 17,18층(여의도동,여의도파이낸스타워)",37.5238324,126.9241294,정보통신업,중소기업 187,1,1,,2
주식회사 훼밀리익스프레스,서울특별시,"서울특별시 강서구 양천로551-24, 803~806호(가양동,한화비즈메트로2차)",37.558692,126.8621098,기타,중소기업 31,1,,1,2
(주)쿨앤쿨,서울특별시,"서울특별시 서초구 남부순환로356길 70, 4층(양재동,양전빌딩)",37.4817407,127.0384383,도매 및 소매업,중소기업 42,1,1,1,3
