 사업장명,소재지역,소재지,위도,경도,업종,기업규모,임금,일생활균형,고용안정,비고
(주)아이퀘스트,서울특별시,"서울특별시 구로구 디지털로34길 55, 407호(구로동,코오롱싸이언스밸리 2차)",37.4842333,126.8992725,정보통신업,중소기업 105,1,,,1
주식회사 마크애니,서울특별시,"서울특별시 중구 퇴계로 286, 10층(쌍림동,쌍림빌딩)",37.5630357,127.003606,정보통신업,중소기업 174,1,,,1
(주)코젠바이오텍,서울특별시,"서울특별시 금천구 가산디지털1로 168, C동 1110호",37.4798346,126.8824997,"전문, 과학 및 기술 서비스업",중소기업 100,1,1,1,3
(주)케이아이엔엑스,서울특별시,"서울특별시 강남구 강남대로 636, 7층,10층(신사동,두원빌딩)",37.5185373,127.0192781,정보통신업,중소기업 147,1,1,1,3
(주)골든민커뮤니케이션,서울특별시,"서울특별시 종로구 종로5길 58, 11층(수송동,석탄회관)",37.5729507,126.9804136,도매 및 소매업,중소기업 26,1,,1,2
(주)이에이엔테크놀로지,서울특별시,"서울특별시 강남구 테헤란로77길 11-19(삼성동,EAN빌딩)",37.5066325,127.0530454,"전문, 과학 및 기술 서비스업",중소기업 109,1,,1,2
(주)디에스멘토링,서울특별시,"서울특별시 마포구 매봉산로 31, 스마티움 10층(상암동,에스플렉스센터) ",37.5754986,126.8899652,정보통신업,중소기업 30,,1,1,2
(주)인사커뮤니케이션,서울특별시,"서울특별시 성동구 연무장5가길 25, 1007호(성수동2가,SK V1타워)",37.5433863,127.0554176,정보통신업,중소기업 26,,1,,1
네오컨버전스 주식회사,서울특별시,"서울특별시 성동구 아차산로 49, 1701호(성수동1가,서울숲코오롱디지털타워3차)",37.5467346,127.050026,도매 및 소매업,중소기업 13,,,1,1
(주)씨알에스큐브,서울특별시,"서울특별시 마포구 월드컵북로 396, 807호(상암동,누리꿈스퀘어 연구개발타워)",37.5791192,126.8902941,정보통신업,중소기업 92,,,1,1
(주)에프앤자산평가,서울특별시,"서울특별시 강서구 마곡중앙2로 61, 2~3층(에프앤가이드빌딩)",37.5531968,126.8298352,정보통신업,중소기업 105,1,1,,2
(주)지오시스템,서울특별시,서울특별시 마포구 토정로14길 27(신정동),37.5444341,126.9322217,도매 및 소매업,중소기업 29,,1,1,2
(주)큰사람커넥트,서울특별시,"서울특별시 구로구 디지털로26길 61, 1303~1304호(구로동,에이스하이엔드타워2차)",37.48076,126.89565,정보통신업,중소기업 69,,1,1,2
풍림무약(주),서울특별시,"서울특별시 중구 소월로 10, 16층(남대문로5가,단암빌딩)",37.5585026,126.9753986,제조업,중소기업 200,1,1,1,3
쿠도커뮤니케이션(주),서울특별시,"서울특별시 서초구 효령로 171, 용상빌딩 302호",37.4824078,127.0028175,제조업,중소기업 237,1,1,,2
(주)이액티브,서울특별시,"서울특별시 영등포구 양평로 157, 1411호(양평동5가,선유도투웨니퍼스트밸리)",37.537865,126.893927,정보통신업,중소기업 38,1,1,1,3
(주)프로젝트노아,서울특별시,"서울특별시 구로구 디지털로29길 38, 1103호(구로동,에이스테크노타워3차) ",37.4844648,126.8932855,"전문, 과학 및 기술 서비스업",중소기업 25,1,,,1
(주)디엠아이시스템즈,서울특별시,"서울특별시 마포구 성지길 27(합정동,디엠아이빌딩) ",37.5468416,126.9132542,도매 및 소매업,중소기업 27,,1,1,2
(주)에어코드,서울특별시,"서울특별시 금천구 가산디지털2로 123, 13층(가산동,월드메르디앙2차)  ",37.4787503,126.8786525,정보통신업,중소기업 49,1,1,1,3
(주)마크로밀엠브레인,서울특별시,"서울특별시 강남구 강남대로 318, 10~14층(역삼동,837타워)",37.4915374,127.0311781,"전문, 과학 및 기술 서비스업",중견기업 273,1,1,,2
(주)나우티앤에스,서울특별시,"서울특별시 구로구 디지털로 273 ,1302~1303호(구로동,에이스트윈타워2차) ",37.4839163,126.8940805,정보통신업,중소기업 42,1,1,,2
이노테크놀로지 주식회사,서울특별시,"서울특별시 금천구 가산디지털2로 184, 1110,1112,1113호(가산동,벽산디지털밸리2차)",37.4839124,126.8780977,도매 및 소매업,중소기업 61,,,1,1
