 사업장명,소재지,업종,기업규모,임금,일생활균형,고용안정,비고
(주)윤택이엔지,"서울특별시 강남구 테헤란로108길 22, 3층(대치동,서경빌딩)",도매 및 소매업,중소기업 23,0,0,1,1
오브젠 주식회사,"서울특별시 영등포구 여의대로 14, 12층(여의도동,KT여의도타워)",정보통신업,중소기업 183,1,0,0,1
주식회사 파수,"서울특별시 마포구 월드컵북로 396, 비지니스센터 17층(상암동,누리꿈스퀘어 비즈니스타워)",정보통신업,중소기업 226,1,1,1,3
주식회사 바이브컴퍼니,서울특별시 용산구 독서당로 97,정보통신업,중소기업 295,1,1,0,2
(주)디에스티인터내셔날,"서울특별시 금천구 가산디지털1로 149, 1201~1205호(신한이노플렉스)",정보통신업,중소기업 96,0,1,0,1
테크하임주식회사,"서울특별시 서초구 반포대로24길 21, 3,4층(서초동,솔본빌딩)",정보통신업,중소기업 50,1,1,1,3
한국무라타전자(주),"서울특별시 서초구 서초대로 411, 동관 21~22층(서초동,GT타워)",도매 및 소매업,중견기업 203,1,1,1,3
(주)핑거,"서울특별시 영등포구 여의대로 24, 43층(여의도동,전국경제인연합회회관)",정보통신업,중소기업 222,1,0,0,1
주식회사 앱테스트에이아이,"서울특별시 송파구 송파대로 201, 제비동 제7층 제비-709호(문정동,송파테라타워2)",정보통신업,중소기업 24,1,0,0,1
(주)인피니트헬스케어,"서울특별시 구로구 디지털로34길 27, 12층(구로동,대륭포스트타워3차)",정보통신업,중소기업 300,1,1,1,3
(주)아이투맥스,"서울특별시 마포구 마포대로 137, 6층(공덕동,KPX빌딩)",정보통신업,중소기업 170,1,1,1,3
(주)예스폼,"서울특별시 성동구 아차산로 49, 901호(성수동1가,서울숲코오롱디지털타워3차)",정보통신업,중소기업 17,1,1,1,3
(주)네오비엔에스,"서울특별시 성동구 뚝섬로17가길 48, 807호(성수동2가,성수에이원지식산업센터)",정보통신업,중소기업 14,1,1,1,3
주식회사 엘릭스,"서울특별시 성동구 왕십리로 58, 1105~1106호(성수동1가,FORHU) ",정보통신업,중소기업 27,0,0,1,1
베렉스주식회사,서울특별시 강남구 삼성로 67길 6(베렉스 빌딩),"전문, 과학 및 기술 서비스업",중소기업 27,1,0,1,2
씨이에프건설(주),"서울특별시 강남구 논현로30길 24, 3층(도곡동,대호빌딩)",기타,중소기업 41,1,0,1,2
(주)니트머스,"서울특별시 중구 명동길 65, 11층(명동1가,보림빌딩)",정보통신업,중소기업 28,1,1,1,3
(주)비아이매트릭스,"서울특별시 강남구 선릉로 433, 세방빌딩 신관 17층",정보통신업,중소기업 157,1,1,0,2
(주)원인터시스템,"서울특별시 강남구 자곡로 7길4, 102~104호(자곡동,아세아ICT센터)",도매 및 소매업,중소기업 29,1,0,1,2
(주)위드네트웍스,"서울특별시 용산구 한강대로11길 13, 2~4층(한강로3가,용일빌딩)",도매 및 소매업,중소기업 115,0,0,1,1
주식회사 스터닝,"서울특별시 강남구 봉은사로112길 6, 2층(삼성동,익성빌딩) ","전문, 과학 및 기술 서비스업",중소기업 33,1,0,0,1
(주)지란지교에스앤씨,"서울특별시 송파구 법원로 128, 12층 C1211호(문정동)",정보통신업,중소기업 43,0,1,0,1
주식회사 이오비스,"서울특별시 송파구 법원로 11길 7, C동 1301~1305호(문정동,현대지식산업센터)",도매 및 소매업,중소기업 2,1,0,0,1
(주)유니정보,"서울특별시 금천구 가산디지털1로 171, 513호(가산동,SK V1센터)",도매 및 소매업,중소기업 61,0,1,1,2
주식회사 소프트보울,"서울특별시 서초구 반포대로 10, 4층(서초동,신원빌딩)",정보통신업,중소기업 22,1,1,1,3
주식회사 티피엠엔,"서울특별시 강남구 테헤란로92길 14, 5층(대치동,동우리빌딩)","전문, 과학 및 기술 서비스업",중소기업 11,1,1,1,3
주식회사 에버랩스,"서울특별시 강남구 테헤란로25길 52, 2층(역삼동,멜로즈프라자)",도매 및 소매업,중소기업 16,0,1,1,2
주식회사 디셈버앤컴퍼니자산운용,"서울특별시 강남구 테헤란로 231, WEST 19층(역삼동,센터필드)",정보통신업,중소기업 100,1,1,1,3
주식회사 컨비니언스,"서울특별시 마포구 잔다리로 39, 501호(서교동,로뎀빌딩)",정보통신업,중소기업 32,0,1,0,1
주식회사 미스터픽,"서울특별시 강남구 테헤란로 447, 16층(삼성동,KB우준타워)",정보통신업,중소기업 26,1,1,1,3
메리티움(주),"서울특별시 금천구 가산디지털1로 5, 1206호(가산동,대륭테크노타운 20차)",정보통신업,중소기업 110,0,1,0,1
위시컴퍼니(주),"서울특별시 강남구 테헤란로 211, 14층(역삼동)",도매 및 소매업,중소기업 89,1,1,0,2
주식회사 테크빌,서울특별시 영등포구 버드나루로12가길 51,정보통신업,중소기업 80,1,0,0,1
주식회사 제스파,"서울특별시 송파구 법원로11길 25, A동 9층(문정동,에이치비지니스파크)",도매 및 소매업,중소기업 66,1,1,0,2
(주)코어트러스트,"서울특별시 구로구 디지털로34길 55, 307호(구로동,코오롱싸이언스밸리2차)",정보통신업,중소기업 35,1,1,1,3
(주)임픽스,"서울특별시 동대문구 천호대로 375, 3층(장안동,학인빌딩)",정보통신업,중소기업 72,1,1,1,3
허브넷굿컴퍼니닷컴 주식회사,"서울특별시 영등포구 63로 50, 17층(한화금융센터)","전문, 과학 및 기술 서비스업",중소기업 87,1,0,1,2
주식회사 이포넷,"서울특별시 강남구 테헤란로87길 21, 15층(삼성동,동성빌딩) ",정보통신업,중소기업 207,1,1,1,3
주식회사 더블다운인터액티브,"서울특별시 강남구 테헤란로 152 ,13층(역삼동,강남파이낸스센터)",정보통신업,중견기업 170,1,1,1,3
(주)케이브레인컴퍼니,"서울특별시 마포구 성암로 330, 323호(상암동,DMC첨단산업센터)","전문, 과학 및 기술 서비스업",중소기업 85,0,0,1,1
주식회사 세계로시스템,"서울특별시 금천구 가산디지털1로 137, 1501호(가산동,IT캐슬2차)",정보통신업,중소기업 30,1,1,1,3
주식회사 피플벤처스,"서울특별시 마포구 성암로 330, 621호(상암동,DMC첨단산업센터)",정보통신업,중소기업 29,1,1,1,3
주식호사 제스큐,"서울특별시 금천구 벚꽃로 298, 1205호(가산동,대륭포스트타워6차)",정보통신업,중소기업 110,0,0,1,1
주식회사 에이더,"서울특별시 강서구 공항대로 220, 1010호(마곡동,우성에스비타워2차)","전문, 과학 및 기술 서비스업",중소기업 14,0,0,1,1
주식회사 시더,"서울특별시 서초구 강남대로18길 5, 3층(양재동)",정보통신업,중소기업 14,0,0,1,1
(주)케이솔루션즈,"서울특별시 금천구 가산디지털1로 225, 419호(에이스가산포휴) ",정보통신업,중소기업 13,1,1,1,3
(주)아이비즈소프트웨어,"서울특별시 영등포구 선유로 70, 1301호(문래동3가,우리벤처타운2)",정보통신업,중소기업 68,0,0,1,1
주식회사 뷰노,"서울특별시 서초구 강남대로 479, 9층(반포동,신논현타워)",정보통신업,중소기업 169,1,0,1,2
글로벌엔지니어링(주),"서울특별시 금천구 디지털로 130, 1003호,1005~1006호(가산동,남성프라자)",제조업,중소기업 23,1,1,1,3
주식회사 매스티지,"서울특별시 마포구 동교로23길 6, 1층(동교동,달리빌딩)",정보통신업,중소기업,0,0,1,1
(주)아토웨이브,"서울특별시 금천구 벚꽃로 286, 1005호(가산동,리더스타워)",제조업,중소기업 19,1,0,1,2
주식회사 신시웨이,"서울특별시 송파구 법원로9길 26, D동 405호(문정동,에이치비지니스파크)",정보통신업,중소기업 61,1,1,1,3
주식회사 아데나소프트웨어,"서울특별시 강남구 테헤란로 207, 14층(역삼동,아가방빌딩)",정보통신업,중소기업 67,1,1,1,3
주식회사 네오비젼,"서울특별시 영등포구 선유로 130, 501~503호(양평동3가,에이스하이테크시티3)",도매 및 소매업,중소기업 27,1,0,1,2
(주)구름네트웍스,"서울특별시 광진구 광나루로36길 14, 화성빌딩 5층(구의동)",정보통신업,중소기업 14,1,0,0,1
법무법인 비트,"서울특별시 강남구 영동대로 735, 8,9층(청담동,골프존타워서울) ","전문, 과학 및 기술 서비스업",중소기업 21,0,0,1,1
반디에스앤씨(주),"서울특별시 성동구 상원12길34, 서울숲A1센터 908호(성수동1가)",정보통신업,중소기업 17,0,1,1,2
주식회사 트리거파트너스,"서울특별시 강남구 논현로114길 11, 2층(논현동,해광빌딩)",정보통신업,중소기업 24,1,1,0,2
(주)키글,"서울특별시 서초구 방배로18길 5, 3층(방배동,BH빌딩)",정보통신업,중소기업 29,0,1,1,2
주식회사 밸류링크유,"서울특별시 마포구 마포대로 19, 1005호(마포동,신화빌딩)",기타,중소기업 59,1,1,0,2
(주)인더포레스트,"서울특별시 강남구 테헤란로77길 11-18, 창애빌딩 5층",정보통신업,중소기업 20,0,1,1,2
에이템즈(주),"서울특별시 송파구 정의로8길 7, 903호(문정동,한스빌딩)","전문, 과학 및 기술 서비스업",중소기업 26,1,1,1,3
(주)엠브레이스,"서울특별시 구로구 경인로 576, 1층(구로동,GS네오텍)",정보통신업,중소기업 52,1,1,1,3
주식회사 비비드플러스,"서울특별시 금천구 벚꽃로 298, 1007호(가산동,대륭포스트타워6차)","전문, 과학 및 기술 서비스업",중소기업 25,0,1,1,2
(주)한유에너지,"서울특별시 관악구 남부순환로 1883(봉천동,한유빌딩)",도매 및 소매업,중견기업 85,1,1,0,2
벡톤디킨슨코리아 주식회사,"서울특별시 강남구 테헤란로 142, 16층(역삼동,아크플레이스)",도매 및 소매업,중견기업 163,1,1,0,2
(주)파워젠,"서울특별시 송파구 법원로 114, A동 1305호(문정동, 엠스테이트)",기타,중소기업 110,1,0,1,2
(주)에이비라인건축사사무소,"서울특별시 성동구 성수이로7길 27, 501~503호(성수동2가, 서울숲코오롱디지털타워2차)","전문, 과학 및 기술 서비스업",중소기업 78,1,1,0,2
주식회사 청안오가닉스,"서울특별시 서초구 서초대로 137, 신국빌딩 4층",도매 및 소매업,중소기업 19,1,1,1,3
주식회사 온채널,"서울특별시 용산구 새창로 217, 806호(한강로2가,용산토투밸리) ",도매 및 소매업,중소기업 36,0,1,1,2
오롬 주식회사,"서울특별시 중구 서애로 23, 1층(필동3가,중구통일회관)",정보통신업,중소기업 37,0,1,0,1
(주)백조씽크,서울특별시 동대문구 청계천로 463(용두동),제조업,중소기업 109,1,0,1,2
(주)오픈한,"서울특별시 성동구 연무장5가길 25, 1311호(성수동2가, SK V1타워)",도매 및 소매업,중소기업 38,1,1,1,3
(주)브이티피엘,"서울특별시 강남구 테헤란로2길 27, 921,1307호(역삼동,패스트파이브빌딩)",도매 및 소매업,중소기업 37,1,0,1,2
(주)잉카엔트웍스,"서울특별시 강남구 논현로 608, 1층(논현동,덕수빌딩)",정보통신업,중소기업 28,1,0,0,1
믹시스템(주),"서울특별시 구로구 디지털로33길 55, 609~611호(구로동,이앤씨벤처드림타워2차)",정보통신업,중소기업 50,1,0,1,2
엠포플러스(주),"서울특별시 성동구 아차산로17길 48, 1동 1619호(성수2가,SK V1센터)",정보통신업,중소기업 26,1,1,1,3
(주)모디엠,"서울특별시 성동구 성수일로4길 25, 1203호(성수동2가,서울숲코오롱디지털타워1차)",정보통신업,중소기업 137,0,0,1,1
(주)무하유,"서울특별시 성동구 성수일로8길 5, A동 201호~203호(성수동2가,서울숲 SK V1타워) ",정보통신업,중소기업 70,1,1,1,3
주식회사 디엘코리아,"서울특별시 송파구 송파대로 167, B동 913-1,2호(문정동,문정역테라타워)",도매 및 소매업,중소기업 12,0,0,1,1
(주)오픈프레스,"서울특별시 성동구 상원1길 26, 406,407호(성수동1가,서울숲에이타워)","전문, 과학 및 기술 서비스업",중소기업 15,0,0,1,1
주식회사 서래스터,"서울특별시 동대문구 망우로21길 52, 203호(휘경동,춘태빌딩) ",기타,중소기업 10,0,0,1,1
(주)위시켓,"서울특별시 강남구 테헤란로 211, 3층(역삼동,한국고등교육재단빌딩)",정보통신업,중소기업 6,1,1,1,3
(주)아이센스,"서울특별시 서초구 반포대로28길 43(서초동,아이센스빌딩)",제조업,중견기업 821,1,1,1,3
(주)고려기프트,"서울특별시 도봉구 도봉로191가길 8(도봉동,고려기프트빌딩)",도매 및 소매업,중소기업 62,0,0,1,1
(주)쟈뎅,"서울특별시 강남구 논현로149길 62, 4층(논현동,영빌딩)",제조업,중소기업 146,1,1,0,2
(주)한국해사기술,"서울특별시 강남구 학동로 175, 5층(논현동,미디어센터)","전문, 과학 및 기술 서비스업",중소기업 112,1,1,0,2
(주)씨앤피동양,"서울특별시 송파구 법원로11길 7, C동 1101호(문정동,현대지식산업센터)","전문, 과학 및 기술 서비스업",중소기업 52,0,1,0,1
(주)애드캡슐소프트,"서울특별시 서초구 동광로12길 84, 성산관 4층",정보통신업,중소기업 215,0,1,1,2
(주)휴노,"서울특별시 마포구 마포대로 109, 101동 1002~1004호(공덕동,롯데캐슬프레지던트)",정보통신업,중소기업 99,0,1,1,2
(주)아이센트,"서울특별시 성동구 아차산로17길 49, 1515호(성수동2가,생각공장 데시앙플렉스)",정보통신업,중소기업 60,0,1,0,1
(주)진앤현시큐리티,"서울특별시 송파구 법원로6길 11, 4층(문정동,환인빌딩)",정보통신업,중소기업 90,0,1,0,1
(주)메일플러그,"서울특별시 강남구 테헤란로78길 16, 8,10층(대치동,노벨빌딩)",정보통신업,중소기업 90,1,1,0,2
(주)콜게이트,"서울특별시 서초구 서초대로 397, 1104,2403호(서초동,부띠크모나코)",정보통신업,중소기업 30,0,1,0,1
(주)예지솔루션,"서울특별시 금천구 가산디지털2로 166, 3층(가산동,에이스K1타워)","전문, 과학 및 기술 서비스업",중소기업 158,1,1,1,3
(주)플립커뮤니케이션즈,"서울특별시 강남구 학동로11길 20-7, 플립타워",정보통신업,중소기업 103,0,1,0,1
(주)앤드와이즈,"서울특별시 강남구 선릉로112길 39, 3층(삼성동,진영빌딩)",정보통신업,중소기업 32,0,0,1,1
(주)이누인터내셔날,"서울특별시 강남구 선릉로 667, 5~7층(논현동,라이즈스퀘어)",도매 및 소매업,중소기업 71,1,1,1,3
(주)한국건설환경,"서울특별시 서초구 효령로 95, 우성빌딩 4,5층","전문, 과학 및 기술 서비스업",중소기업 39,0,0,1,1
주식회사 키스톤마케팅컴퍼니,"서울특별시 서초구 서초대로78길 5, 13층(서초동,대각빌딩)","전문, 과학 및 기술 서비스업",중소기업 124,1,1,1,3
주식회사 골드넥스,"서울특별시 성동구 왕십리로125, 802-1,803-1호(KD타워)","전문, 과학 및 기술 서비스업",중소기업 73,0,1,0,1
(주)아미크,"서울특별시 성동구 성수일로 10, 1405,1406호(성수동1가,서울숲ITCT지식산업센터)",정보통신업,중소기업 17,1,0,1,2
(주)클라우드네트웍스,"서울특별시 강남구 영동대로96길 20, 10층(삼성동,대화빌딩)",정보통신업,중소기업 59,1,1,1,3
(주)유컴패니온,"서울특별시 강남구 논현로28길 45, 3층(도곡동,덕윤빌딩) ",정보통신업,중소기업 112,1,0,1,2
(주)유니온콘텐츠,"서울특별시 금천구 디지털로 121, 906호(가산동,에이스가산타워)",정보통신업,중소기업 11,0,0,1,1
(주)이루에프씨,"서울특별시 강동구 양재대로89가길 34, 2,5,6층(성내동,천지빌딩)","전문, 과학 및 기술 서비스업",중소기업 46,0,1,1,2
주식회사 제이콥시스템,"서울특별시 송파구 송파대로 201, B동 1313호,1319~1321호(문정동,송파테라타워2)",정보통신업,중소기업 22,0,0,1,1
주식회사 에이치엠씨네트웍스,"서울특별시 강남구 테헤란로8길 37, 5층(역삼동,한동빌딩)",도매 및 소매업,중소기업 79,0,0,1,1
(주)제이에프엠,"서울특별시 구로구 디지털로26길 123, 1602호(구로동,지플러스타워)",도매 및 소매업,중소기업 12,0,0,1,1
삼정데이타서비스(주),"서울특별시 구로구 디지털로 306, 416,417,421호(구로동,대륭포스트타워2차)",정보통신업,중소기업 74,0,0,1,1
(주)제이에프엠테크,"서울특별시 구로구 디지털로26길 123, 1604호(구로동,지플러스타워) ",도매 및 소매업,중소기업 18,0,0,1,1
(주)에스엔제이,"서울특별시 구로구 디지털로31길 19, 604호(구로동,에이스테크노타워Ⅱ)",제조업,중소기업 19,0,0,1,1
(주)코리아리서치인터내셔널,"서울특별시 서초구 사임당로 18, 8층(석초동,석오빌딩)","전문, 과학 및 기술 서비스업",중소기업 79,1,1,1,3
(주)성지제강,"서울특별시 서초구 신반포로 311, 5층(신영빌딩) ",제조업,중견기업 70,0,1,1,2
(주)성지알펙스,"서울특별시 서초구 신반포로 311, 4층(신영빌딩) ",제조업,중소기업 45,1,1,1,3
(주)마이건축사사무소,"서울특별시 성동구 성수일로4길25, 210호(성수동2가,서울숲코오롱디지털타워1차)","전문, 과학 및 기술 서비스업",중소기업 32,0,1,0,1
웹케시(주),"서울특별시 영등포구 영신로 220, 12층,2003~2013호(영등포동8가,KNK디지털타워)",정보통신업,중소기업 261,1,1,0,2
(주)이엠넷,"서울특별시 구로구 디지털로34길 27, 14층(구로동,대륭포스트타워3차)","전문, 과학 및 기술 서비스업",중소기업 325,1,1,1,3
(주)디에스이트레이드,"서울특별시 서초구 동산로 13, 6층(양재동,정선빌딩)",정보통신업,중소기업 34,1,1,0,2
(주)사이냅소프트,"서울특별시 강서구 마곡중앙4로 62(마곡동,사이냅소프트 R&D센터)",정보통신업,중소기업 50,1,0,0,1
보나캠프 주식회사,"서울특별시 금천구 범안로 1130, 14층(가산동,디지털엠파이어빌딩)",정보통신업,중소기업 47,0,0,1,1
(주)토마토시스템,"서울특별시 강남구 논현로128길 5, 장뻘빌딩 5,6,8층",정보통신업,중소기업 215,1,1,1,3
주식회사 넷솔테크,"서울특별시 영등포구 국회대로70길 19, 11층(여의도동,대하빌딩)",정보통신업,중소기업 65,1,0,0,1
(주)인포큐브,"서울특별시 송파구 법원로11길 11, B동 1001호(현대지식산업센터)",정보통신업,중소기업 13,1,1,1,3
(주)펨트론,"서울특별시 금천구 가산디지털1로 219, 1406호(가산동,벽산디지털밸리6차)",제조업,중소기업 178,1,1,0,2
호스트센터(주),"서울특별시 서초구 법원로1길 6, 1층(서초동)",정보통신업,중소기업 41,1,1,1,3
주식회사 솔박스,"서울특별시 강남구 테헤란로 124, 10층(역삼동,삼원타워)",정보통신업,중소기업 76,0,1,0,1
(주)아이앤티시스템,"서울특별시 금천구 서부샛길 606, A동 2208호(가산동,대성디폴리스)",정보통신업,중소기업 21,0,1,1,2
(주)초록에스티,"서울특별시 송파구 법원로11길 7, C동 913호(문정동,문정현대지식산업센터)",도매 및 소매업,중소기업 12,0,0,1,1
(주)아이비리더스,"서울특별시 구로구 디지털로 242, 1501호(구로동,한화비즈메트로)",정보통신업,중소기업 69,1,1,0,2
주식회사 휴네시온,"서울특별시 강남구 학동로 97길 20, 2,3층(청담동,성호빌딩)",정보통신업,중소기업 156,1,1,1,3
에이스바이오팜 주식회사 ,"서울특별시 서초구 동산로8길 41, 4층(양재동,성현빌딩)",도매 및 소매업,중소기업 73,1,1,1,3
(주)에스큐브아이,"서울특별시 서초구 동산로 23, 3층(양재동,베델회관)",정보통신업,중소기업 62,0,1,1,2
(주)아이티이지,"서울특별시 서초구 서초대로 250, 3층(서초동,스타갤러리브릿지)",정보통신업,중소기업 82,0,1,1,2
(주)모니터랩,"서울특별시 구로구 디지털로27가길 27, 8,9층(구로동,아남빌딩)",정보통신업,중소기업 78,1,1,1,3
(주)콘텐츠브릿지,"서울특별시 강남구 언주로 517, KT-IDC 14층(역삼동)",정보통신업,중소기업 77,1,1,0,2
(주)티라유텍,"서울특별시 강남구 학동로5길 7, 2층(CK빌딩)",정보통신업,중소기업 286,1,1,0,2
한국시스템보증(주),서울특별시 송파구 문정로4길 12,정보통신업,중소기업 27,1,0,1,2
에이비온 주식회사,"서울특별시 구로구 디지털로 242, 915호(구로동,한화비즈메트로1차)","전문, 과학 및 기술 서비스업",중소기업 31,1,0,1,2
(주)반석티브이에스,"서울특별시 송파구 법원로 114, B동 1201호(문정,엠스테이트)",도매 및 소매업,중소기업 48,1,0,0,1
주식회사 세시소프트,"서울특별시 서초구 방배로22길 20, 2층(방배동)",정보통신업,중소기업 44,0,0,1,1
주식회사 스펙엔지니어링와이엔피,"서울특별시 송파구 송파대로 201, B동 1407,1408호(문정동,송파테라타워2) ","전문, 과학 및 기술 서비스업",중소기업 16,1,0,0,1
(주)에스앤에프솔루션 ,"서울특별시 서초구 강남대로97길 27(잠원동,세원빌딩)",정보통신업,중소기업 12,0,1,0,1
(주)아이티레이,"서울특별시 금천구 가산디지털1로 45, 704호(가산동,이앤씨드림타워8차)",도매 및 소매업,중소기업 24,1,1,0,2
주식회사 애드오피,"서울특별시 강남구 테헤란로 623, 10층(삼성동,삼성빌딩)","전문, 과학 및 기술 서비스업",중소기업 28,1,1,1,3
(주)피앰아이,"서울특별시 서초구 강남대로91길 16, 2층(잠원동,서린빌딩)","전문, 과학 및 기술 서비스업",중소기업 57,1,1,1,3
(주)시큐레이어,"서울특별시 성동구 성수일로4길 25, 1407호(성수동2가,서울숲코오롱디지털타워)",정보통신업,중소기업 92,0,0,1,1
(주)더블유게임즈,"서울특별시 강남구 테헤란로 152, 13,16층(역삼동,강남파이낸스센터)",정보통신업,중견기업 321,1,1,1,3
이패스(주),"서울특별시 구로구 디지털로30길 31, 1101호(구로동,코오롱디지털타워빌란트2차)",정보통신업,중소기업 14,0,0,1,1
크리스피드(주),"서울특별시 송파구 법원로11길 25, B동 1001호(문정동,에이치비지니스파크)",정보통신업,중소기업 191,1,1,1,3
(주)태조엔지니어링,"서울특별시 송파구 백제고분로 503, 4층(방이동,유정빌딩)","전문, 과학 및 기술 서비스업",중소기업 272,1,0,1,2
동신렌탈(주),"서울특별시 송파구 송파대로 201, B동 503호(문정동,송파테라타워2) ",도매 및 소매업,중소기업 11,1,0,1,2
(주)크로니아이티,"서울특별시 송파구 중대로 113, 5층(가락동,전기회관)",정보통신업,중소기업 49,1,0,0,1
코아인텍 주식회사,"서울특별시 영등포구 양평로21길 26, 1303호(양평동5가,아이에스비즈타워1차)",도매 및 소매업,중소기업 18,0,1,1,2
주식회사 네오크레마,"서울특별시 송파구 중대로 211(가락동,나은빌딩)",제조업,중소기업 66,1,1,1,3
(주)이노룰스,"서울특별시 송파구 법원로6길 7, 12층(문정동,유탑테크밸리)",정보통신업,중소기업 76,1,1,1,3
(주)에스앤에프디지텍,"서울특별시 강남구 선릉로145길 5-11(논현동,주영빌딩)",도매 및 소매업,중소기업 2,0,1,0,1
주식회사 위우너스,"서울특별시 송파구 중대로 135, 동관 1201호(가락동,아이티벤처타워)",정보통신업,중소기업 31,1,0,0,1
(주)지브이,"서울특별시 강동구 양재대로 1397, 502호(성내동,양지빌딩) ",도매 및 소매업,중소기업 13,0,0,1,1
피에스피에프앤디 주식회사,"서울특별시 송파구 송이로 99, 피에스피빌딩 2층전관",도매 및 소매업,중소기업 34,0,0,1,1
주식회사 노버스메이,서울특별시 송파구 마천로39길 33,도매 및 소매업,중소기업 33,1,1,1,3
(주)건우애듀,"서울특별시 노원구 초안산로12, 연지스퀘어 비203호(인덕대학교)",정보통신업,중소기업 18,0,0,1,1
(주)스틸리언,"서울특별시 용산구 원효로 90길 11, 업무동 12층(더프라임타워)",정보통신업,중소기업 53,1,1,1,3
주식회사 애드인텔리전스,"서울특별시 광진구 천호대로110길 7, 6층(능동,마주빌딩)",정보통신업,중소기업 32,0,1,1,2
(주)삼원특수지,"서울특별시 광진구 천호대로 549, 10,11,12층(중곡동,지타워)",도매 및 소매업,중소기업 135,1,0,0,1
(주)익진엔지니어링,"서울특별시 강남구 역삼로 124, 6층(역삼동,청보빌딩)",기타,중소기업 18,0,0,1,1
(주)한국리서치,"서울특별시 강남구 봉은사로 179, 7층(논현동,H타워)","전문, 과학 및 기술 서비스업",중소기업 157,1,1,0,2
모락스트레이딩(주),"서울특별시 중구 서소문로 116(서소문동,유원빌딩)",제조업,중소기업 70,1,0,0,1
(주)영림원소프트랩,"서울특별시 강서구 양천로 583, A동 23층(염창동,우림블루9 비즈니스센터)",정보통신업,중소기업 312,1,1,1,3
노아에이티에스(주),"서울특별시 종로구 청계천로 41, 12층(서린동,영풍빌딩)",정보통신업,중소기업 152,1,1,1,3
(주)컨트롤웍스,"서울특별시 강남구 언주로81길 13, 3층(진일빌딩)",도매 및 소매업,중소기업 48,1,0,1,2
(주)씨에스피아이,"서울특별시 서초구 강남대로 222-6, 7층(Zinam빌딩)",정보통신업,중소기업 202,0,1,1,2
(주)엑센솔루션,"서울특별시 금천구 가산디지털1로 171, 1713,1817,1818호(가산동,가산 SK v1센터)",정보통신업,중소기업 45,0,0,1,1
(주)인브레인,"서울특별시 금천구 디지털로9길 46, 704호(가산동,이앤씨드림타워7차)",정보통신업,중소기업 47,0,0,1,1
브레인즈컴퍼니(주),"서울특별시 성동구 성수이로87, 8층(성수2가,성문빌딩)",정보통신업,중소기업 101,0,1,0,1
주식회사 모비젠,"서울특별시 송파구 법원로 128, C동 1610~1621호(문정동,SK V1 GL메트로시티)",정보통신업,중소기업 215,1,1,1,3
(주)에이앤티솔루션,"서울특별시 강남구 삼성로 508, 1211호(삼성동,LG트윈빌딩2차)",정보통신업,중소기업 77,1,1,1,3
(주)불스원,"서울특별시 강남구 테헤란로 306, 카이트타워 6층",제조업,중견기업 253,1,1,1,3
(주)이너버스,"서울특별시 영등포구 양평로21길 26, 1604~1607호(양평동5가,아이에스비즈타워)",정보통신업,중소기업 26,0,1,1,2
파이언넷(주),서울특별시 강서구 마곡동로 36,정보통신업,중소기업 181,1,1,1,3
핌즈(주),"서울특별시 중랑구 신내역로3길 40-36, A동 1217호",정보통신업,중소기업 42,1,1,1,3
주식회사 비투엔,"서울특별시 영등포구 선유로 146, 210호(양평동3가,이앤씨드림타워)",정보통신업,중소기업 146,1,0,0,1
(주)트리플하이엠,"서울특별시 금천구 디지털로 121, 10층(가산동,에이스가산타워)","전문, 과학 및 기술 서비스업",중소기업 139,0,1,0,1
디딤365 주식회사,"서울특별시 금천구 디지털로9길 68, 2006~2010호,1601,1602호(대륭포스트타워5차)",정보통신업,중소기업 133,1,1,1,3
넥스엔정보기술(주),"서울특별시 강남구 언주로75길19, 203호(역삼동,역원빌딩)",정보통신업,중소기업 17,1,1,1,3
(주)친환경계획그룹청연,"서울특별시 강남구 논현로71길 6(역삼동,청연빌딩)","전문, 과학 및 기술 서비스업",중소기업 74,1,0,1,2
나인원소프트(주),"서울특별시 성동구 상원1길 26, 711호(성수동1가,서울숲A타워)",정보통신업,중소기업 26,1,0,1,2
주식회사 데이사이드,"서울특별시 강남구 강남대로94길 53, 4층(역삼동,화성빌딩)",정보통신업,중소기업 45,1,1,1,3
희래 주식회사,"서울특별시 강남구 강남대로 302, 15층(역삼동,동희빌딩)",도매 및 소매업,중소기업 10,1,0,1,2
이앤에스글로벌(주),"서울특별시 강남구 선릉로 433(역삼동,세방빌딩)","전문, 과학 및 기술 서비스업",중견기업 46,1,1,1,3
(주)지엔엠라이프,"서울특별시 영등포구 선유로 130, 13층(양평동3가,에이스하이테크시티3)",도매 및 소매업,중소기업 70,1,1,1,3
아일리스프런티어(주),"서울특별시 중구 청계천로 100, 서관 3층(수표동,시그니쳐타워)",정보통신업,중소기업 37,1,1,1,3
주식회사 플그림,"서울특별시 성동구 연무장5가길 7, W1404호(성수동2가,성수역 현대테라스타워)",정보통신업,대기업 79,1,1,1,3
(주)코너스,"서울특별시 성동구 상원1길 26, 806호(성수동1가,서울숲A타워)",정보통신업,중소기업 29,0,0,1,1
(주)에이스엔지니어링,서울특별시 서초구 사평대로 80(반포동),도매 및 소매업,중소기업 52,1,0,0,1
(주)그라운드케이,"서울특별시 강서구 마곡중앙로 161-8, C동 1205호(마곡동,두산더랜드파크)",기타,중소기업 10,0,0,1,1
(주)교림소프트,"서울특별시 구로구 디지털로33길 27, 307호(구로동,삼성IT밸리)",정보통신업,중소기업 48,0,1,0,1
