선정된해, 사업장명21,소재지21,업종21,임금21,일생활균형21,고용안정21,비고,선정된해, 사업장명22,소재지22,업종22,임금22,일생활균형22,고용안정22,비고
2021,동문이엔티(주),"서울특별시 구로구 디지털로 33길, 12 우림2차 501-505호",도매 및 소매업,1,1,1,3,2022,동문이엔티(주),"서울특별시 구로구 디지털로33길 12, 501~505호(우림이비즈센처2차)",도매 및 소매업,1,1,1,3
2021,디딤365 주식회사,"서울특별시 금천구 디지털로9길 68, 2006~2010호(가산동, 대륭포스트타워 5차)",정보통신업,1,1,1,3,2022,디딤365 주식회사,"서울특별시 금천구 디지털로9길 68, 2006~2010호,1601,1602호(대륭포스트타워5차)",정보통신업,1,1,1,3
2021,알서포트 주식회사,"서울특별시 송파구 위례성대로 10, 8층~12층(방이동, 에스타워)","전문, 과학 및 기술 서비스업",1,1,1,3,2022,알서포트 주식회사,"서울특별시 송파구 위례성대로 10, 9~15층(방이동,에스타워)","전문, 과학 및 기술 서비스업",1,1,1,3
2021,엠아이큐브솔루션 주식회사,"서울특별시 서초구 남부순환로 2419, 2층, 3층(서초동, 아트빌딩)",정보통신업,1,1,1,3,2022,엠아이큐브솔루션 주식회사,"서울특별시 서초구 남부순환로 2419, 2,3층(서초동,아트빌딩)",정보통신업,1,1,1,3
2021,유비씨엔(주),"서울특별시 금천구 가산디지털1로 212, 710호(가산동, 코오롱디지털타워애스턴)",정보통신업,1,1,1,3,2022,유비씨엔(주),"서울특별시 금천구 가산디지털1로 212, 910호(가산동,코오롱애스턴)",정보통신업,1,1,1,3
2021,주식회사 네오크레마,"서울특별시 송파구 중대로 211(가락동, 나은빌딩)",제조업,1,1,1,3,2022,주식회사 네오크레마,"서울특별시 송파구 중대로 211(가락동,나은빌딩)",제조업,1,1,1,3
2021,주식회사 노버스메이,서울특별시 송파구 마천로39길 33(마천동),도매 및 소매업,1,1,1,3,2022,주식회사 노버스메이,서울특별시 송파구 마천로39길 33,도매 및 소매업,1,1,1,3
2021,주식회사 더유제약,"서울특별시 영등포구 당산로 171, 1501호(당산동4가, 금강 펜테리움 IT타워)","전문, 과학 및 기술 서비스업",1,1,1,3,2022,주식회사 더유제약,"서울특별시 영등포구 당산로 171, 1501호(금강펜테리움IT타워)","전문, 과학 및 기술 서비스업",1,1,1,3
2021,주식회사 데이사이드,"서울특별시 강남구 강남대로94길 53, 화성빌딩 4층(역삼동)",정보통신업,1,1,1,3,2022,주식회사 데이사이드,"서울특별시 강남구 강남대로94길 53, 4층(역삼동,화성빌딩)",정보통신업,1,1,1,3
2021,주식회사 미스터픽,서울특별시 강남구 테헤란로447 KB우준타워 16층,정보통신업,1,1,1,3,2022,주식회사 미스터픽,"서울특별시 강남구 테헤란로 447, 16층(삼성동,KB우준타워)",정보통신업,1,1,1,3
2021,주식회사 애드오피,"서울특별시 강남구 테헤란로 623, 10층(삼성동, 삼성빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3,2022,주식회사 애드오피,"서울특별시 강남구 테헤란로 623, 10층(삼성동,삼성빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3
2021,주식회사 이포넷,"서울특별시 강남구 테헤란로87길 21, 15층(삼성동, 동성빌딩)",정보통신업,1,1,1,3,2022,주식회사 이포넷,"서울특별시 강남구 테헤란로87길 21, 15층(삼성동,동성빌딩) ",정보통신업,1,1,1,3
2021,주식회사 커머스웨어,"서울특별시 성동구 광나루로8길 31, 905호(성수동2가, SK V1센터 2동)",정보통신업,1,1,1,3,2022,주식회사 커머스웨어,"서울특별시 성동구 광나루로8길 31, 2동 905호(성수동2가,SK V1센터)",정보통신업,1,1,1,3
2021,주식회사 파수,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 비즈니스타워 17층",정보통신업,1,1,1,3,2022,주식회사 파수,"서울특별시 마포구 월드컵북로 396, 비지니스센터 17층(상암동,누리꿈스퀘어 비즈니스타워)",정보통신업,1,1,1,3
2021,주식회사 플그림,"서울특별시 성동구 연무장5가길 7, w1404호(성수동2가, 성수역 현대테라스타워)",정보통신업,1,1,1,3,2022,주식회사 플그림,"서울특별시 성동구 연무장5가길 7, W1404호(성수동2가,성수역 현대테라스타워)",정보통신업,1,1,1,3
2021,크리스피드(주),"서울특별시 송파구 법원로11길 25, B동 1001호",정보통신업,1,1,1,3,2022,크리스피드(주),"서울특별시 송파구 법원로11길 25, B동 1001호(문정동,에이치비지니스파크)",정보통신업,1,1,1,3
2021,풍림무약(주),"서울특별시 중구 소월로 10, 16층(남대문로5가, 단암빌딩)",제조업,1,1,1,3,2022,풍림무약(주),"서울특별시 중구 소월로 10, 16층(남대문로5가,단암빌딩)",제조업,1,1,1,3
2021,한국무라타전자(주),"서울특별시 서초구 서초대로 411, 21~22층(서초동, GT타워동관)",도매 및 소매업,1,1,1,3,2022,한국무라타전자(주),"서울특별시 서초구 서초대로 411, 동관 21~22층(서초동,GT타워)",도매 및 소매업,1,1,1,3
2021,호스트센터(주),"서울특별시 서초구 법원로1길 6, 1층(서초동)",정보통신업,1,1,1,3,2022,호스트센터(주),"서울특별시 서초구 법원로1길 6, 1층(서초동)",정보통신업,1,1,1,3
,,,,,,,,,,,,,,,
2021,(주)아이투맥스,"서울특별시 마포구 마포대로137, 6층 (공덕동, KPX빌딩)",정보통신업,1,1,0,2,2022,(주)아이투맥스,"서울특별시 마포구 마포대로 137, 6층(공덕동,KPX빌딩)",정보통신업,1,1,1,3
2021,(주)이즈파크,"서울특별시 금천구 가산디지털1로 145, 1001호(가산동, 에이스하이엔드타워3차)",정보통신업,1,1,0,2,2022,(주)이즈파크,"서울특별시 금천구 가산디지털1로 145, 1001호(가산동,에이스하이엔드타워3차)",정보통신업,1,1,1,3
2021,(주)플래티어,"서울특별시 송파구 법원로9길 26, D동 6층 (문정동, 에이치비지니스파크)",정보통신업,1,1,0,2,2022,(주)플래티어,"서울특별시 송파구 법원로9길 26, D동 6층",정보통신업,1,1,1,3
2021,주식회사 매사,"서울특별시 영등포구 선유로49길 23, 1001호(양평동4가, 선유도역2차 아이에스비즈타워)",정보통신업,1,1,0,2,2022,주식회사 매사,"서울특별시 영등포구 선유로49길 23, 1001호(양평동4가,아이에스비즈타워2차)",정보통신업,1,1,1,3
2021,주식회사 모비젠,"서울특별시 송파구 법원로 128, C동 1610-1621호 (문정동, SK V1 GL메트로시티)",정보통신업,1,1,0,2,2022,주식회사 모비젠,"서울특별시 송파구 법원로 128, C동 1610~1621호(문정동,SK V1 GL메트로시티)",정보통신업,1,1,1,3
,,,,,,,,,,,,,,,
2021,(주)큐빅테크,"서울특별시 구로구 디지털로 272, 301호(구로동, 한신IT타워) ",정보통신업,1,0,1,2,2022,(주)큐빅테크,"서울특별시 구로구 디지털로 272, 301~303호(구로동,한신IT타워)",정보통신업,1,1,1,3
2021,(주)티오이십일,"서울특별시 서초구 서초대로 350, 2층(서초동, 서초동동아빌라트)",정보통신업,1,0,1,2,2022,(주)티오이십일,"서울특별시 서초구 서초대로 350, 2층(서초동,동아빌라트)",정보통신업,1,1,1,3
2021,(주)피앰아이,"서울특별시 서초구 강남대로91길 16, 2층(잠원동, 서린빌딩)","전문, 과학 및 기술 서비스업",1,0,1,2,2022,(주)피앰아이,"서울특별시 서초구 강남대로91길 16, 2층(잠원동,서린빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3
2021,노아에이티에스(주),"서울특별시 종로구 종로5길 68, 5층(수송동, 코리안리빌딩)",정보통신업,1,0,1,2,2022,노아에이티에스(주),"서울특별시 종로구 청계천로 41, 12층(서린동,영풍빌딩)",정보통신업,1,1,1,3
2021,오아 주식회사,서울특별시 서초구 효령로46길 97,도매 및 소매업,1,0,1,2,2022,오아 주식회사,서울특별시 서초구 효령로46길 97(서초동),도매 및 소매업,1,1,1,3
2021,주식회사 아데나소프트웨어,"서울특별시 강남구 테헤란로 207, 14층 (역삼동, 아가방빌딩)",정보통신업,1,0,1,2,2022,주식회사 아데나소프트웨어,"서울특별시 강남구 테헤란로 207, 14층(역삼동,아가방빌딩)",정보통신업,1,1,1,3
2021,파이언넷(주),서울특별시 강서구 마곡동로 36 (마곡동),정보통신업,1,0,1,2,2022,파이언넷(주),서울특별시 강서구 마곡동로 36,정보통신업,1,1,1,3
,,,,,,,,,,,,,,,
2021,(주)명인이노,"서울특별시 금천구 벚꽃로 278, 401~402호 (가산동, SJ테크노빌)",도매 및 소매업,0,1,1,2,2022,(주)명인이노,"서울특별시 금천구 벚꽃로 278, 401,402호(가산동,SJ테크노빌)",도매 및 소매업,1,1,1,3
2021,(주)엑스퍼넷,"서울특별시 구로구 디지털로31길 38-21, 609호 (구로동, 이앤씨벤처드림타워3차)",정보통신업,0,1,1,2,2022,(주)엑스퍼넷,"서울특별시 구로구 디지털로31길 38-21, 609호(구로동,이앤씨벤쳐드림타워3차)",정보통신업,1,1,1,3
2021,(주)예지솔루션,"서울특별시 금천구 가산디지털2로 166, 3층(가산동, 에이스k1타워)","전문, 과학 및 기술 서비스업",0,1,1,2,2022,(주)예지솔루션,"서울특별시 금천구 가산디지털2로 166, 3층(가산동,에이스K1타워)","전문, 과학 및 기술 서비스업",1,1,1,3
2021,(주)코리아리서치인터내셔널,"서울특별시 강남구 테헤란로7길 12, 3층(역삼동, 허바허바빌딩)","전문, 과학 및 기술 서비스업",0,1,1,2,2022,(주)코리아리서치인터내셔널,"서울특별시 서초구 사임당로 18, 8층(석초동,석오빌딩)","전문, 과학 및 기술 서비스업",1,1,1,3
2021,(주)토마토시스템,"서울특별시 강남구 논현로128길 5, 장뻘빌딩 5,6,8층",정보통신업,0,1,1,2,2022,(주)토마토시스템,"서울특별시 강남구 논현로128길 5, 장뻘빌딩 5,6,8층",정보통신업,1,1,1,3
2021,엠포플러스(주),"서울특별시 성동구 아차산로17길 48, SK V1 센터 1동 1619호",정보통신업,0,1,1,2,2022,엠포플러스(주),"서울특별시 성동구 아차산로17길 48, 1동 1619호(성수2가,SK V1센터)",정보통신업,1,1,1,3
2021,주식회사 소프트보울,"서울특별시 서초구 반포대로10, 신원빌딩 4층 ",정보통신업,0,1,1,2,2022,주식회사 소프트보울,"서울특별시 서초구 반포대로 10, 4층(서초동,신원빌딩)",정보통신업,1,1,1,3
2021,주식회사 신시웨이,"서울특별시 송파구 법원로9길 26, D동 405호(문정동, 에이치비지니스파크)",정보통신업,0,1,1,2,2022,주식회사 신시웨이,"서울특별시 송파구 법원로9길 26, D동 405호(문정동,에이치비지니스파크)",정보통신업,1,1,1,3
2021,코리아스펙트랄프로덕츠(주),"서울특별시 구로구 디지털로 273, 402호 (구로3동, 에이스트윈타워2차)",제조업,0,1,1,2,2022,코리아스펙트랄프로덕츠(주),"서울특별시 구로구 디지털로 273, 407호(구로동,에이스트윈타워2차) ",제조업,1,1,1,3
,,,,,,,,,,,,,,,
2021,(주)더블미,"서울특별시 중구 청계천로 40, 13층 1316호(다동, 한국관광공사)",정보통신업,1,0,0,1,2022,(주)더블미,"서울특별시 서초구 강남대로 148, 6층 2호(양재동,상록빌딩)",정보통신업,1,1,1,3
2021,주식회사 세계로시스템,"서울특별시 금천구 가산디지털1로 137, 1501호(가산동, IT캐슬2차)",정보통신업,1,0,0,1,2022,주식회사 세계로시스템,"서울특별시 금천구 가산디지털1로 137, 1501호(가산동,IT캐슬2차)",정보통신업,1,1,1,3
,,,,,,,,,,,,,,,
2021,아이낸스(주),"서울특별시 영등포구 여의대방로69길 23, 6층 (여의도동, 한국금융IT빌딩)",정보통신업,0,1,0,1,2022,아이낸스(주),"서울특별시 영등포구 여의대방로69길 23, 6층(여의도동,한국금융IT빌딩)",정보통신업,1,1,1,3
,,,,,,,,,,,,,,,
2021,주식회사 님버스네트웍스,"서울특별시 구로구 디지털로306, 11층 1108호(구로동, 대륭포스터타워2차)",정보통신업,0,0,1,1,2022,주식회사 님버스네트웍스,"서울특별시 구로구 디지털로 306, 1108호(구로동,대륭포스트타워2차)",정보통신업,1,1,1,3
2021,주식회사 청안오가닉스,"서울특별시 서초구 효령로29길 39, 301호 (방배동, 전일빌딩)",도매 및 소매업,0,0,1,1,2022,주식회사 청안오가닉스,"서울특별시 서초구 서초대로 137, 신국빌딩 4층",도매 및 소매업,1,1,1,3
